id,pattern,match_type,source_column,merchant,category,subcategory,conditions,priority
1,BIEDRONKA,contains,description,Biedronka,groceries,discount_store,,10
2,ŻABKA,contains,description,ZABKA,groceries,convinience_store,,10
3,ZABKA,contains,description,ZABKA,groceries,convinience_store,,10
4,APTEKA,contains,description,Apteka,health,pharmacy,,10
5,OLLI S C,contains,description,DZIKI BAR MLECZNY,dining out,milk bars,,10
6,WYNAGRODZENIE,contains,description,Pekao S.A.,income,salary,,10
7,STYPENDIUM,contains,description,,income,scholarship,,10
8,KIESZONKOWE,contains,description,,income,scholarship,,10
9,1-MINUTE,contains,description,1-MINUTE,groceries,convinience_store,,10
10,PILKANAHALI,contains,description,pilkanahali.pl,activity,,,10
11,IKEA,contains,description,IKEA,shopping_and_services,home_goods,,10
12,PUTKA,contains,description,Putka,groceries,bakery,,10
13,CARREFOUR,contains,description,Carrefour,groceries,convinience_store,,10
14,LIDL,contains,description,Lidl,groceries,discount_store,,10
15,LIME,contains,description,Lime,transport,lime,,10
16,GAWRYSZEWSKA,contains,description,Chinczyk na Senatorskiej,dining out,chinczyks,,10
17,OPENAI,contains,description,OpenAI,entertainment+subscriptions,subscriptions,,10
18,ASIAN DRAGON,contains,description,Asian Dragon,dining out,restaurants,,10
19,POPEYES,contains,description,Popeyes,dining out,restaurants,,10
20,dodadaniatycos,,,,,,,10
21,CYWILNO-PRAWNA PZU,contains,description,PZU S.A.,income,salary,,10
22,FILIA-DOBRA,contains,description,Lubaszka,dining out,bakery,,10
23,GORACO POLECAM,contains,description,Goraco Polecam,dining out,bakery,,10
24,CZYNSZ,contains,description,,housing,rent,"{""max_amount"": 0}",10
25,\bBAR( |$),regex,description,,dining out,restaurants,,9
26,DOMANIEWSKA,contains,description,,housing,rent,"{""max_amount"": 0}",10
27,SUBWAY,contains,description,Subway,dining out,fast_food,,10
28,OSZCZ,contains,description,,savings,,,10
29,TOP MARKET,contains,description,Top Market,groceries,convinience_store,,10
30,RELAY,contains,description,Relay,groceries,convinience_store,,10
31,MPSA,contains,description,ZTM Warszawa,transport,tickets,,10
32,LUCA BAKERY,contains,description,LUCA BAKERY,dining_out,bakery,,10
33,MUZANT,contains,description,Muzant,shopping_and_services,music,,10
34,AUTOMATY,contains,description,Venting Machine,dining_out,vending machines,,10
35,\bBAR\b,regex,description,,dining out,restaurants,,9
36,KEBAB,contains,description,,dining out,fast_food,,10
37,KFC,contains,description,,dining out,fast_food,,10
38,HEBE,contains,description,Hebe,shopping_and_services,beauty,,10
39,LATINO FOOD,contains,description,,dining out,restaurants,,10
40,TBILISI ERIK ZAK,contains,description,Pierarnia Gruzinska Sluzew,dining out,bakery,,10
41,VINYL,contains,description,,shopping_and_services,music,,9
42,KODANO,contains,description,Kodano,health,vision,,10
43,ALKOHOLE SWIATA,contains,description,Alkochole Swiata,groceries,convinience_store,,10
44,DELIKATESY CENTRUM,contains,description,Delikatesy Centrum,groceries,convinience_store,,10
45,ARTUR CHYBOWSKI,contains,description,Boruta Barbershop,shopping_and_services,beauty,,10
46,CYGARO EWA KAFAR,contains,description,Lewiatan Iwiczna,groceries,convinience_store,,10
47,LUBASZKA,contains,description,Lubaszka,dining_out,bakery,,10
48,SPOLEM,contains,description,Spolem,groceries,convinience_store,,10
49,Z WODY,contains,description,Z Wody,dining out,restaurants,,10
50,FRAC,contains,description,,groceries,convinience_store,,10
51,NETTO,contains,description,,groceries,convinience_store,,10
52,MCDONALDS,contains,description,,dining out,fast food,,10
53,ROSSMANN,contains,description,,,,,10
54,DHAKA,contains,description,Dhaka Kebab,dining out,fast food,,10
55,ACHI ACHI,contains,description,Achi Achi,dining out,restaurants,,10
56,DINO,contains,description,Dino,groceries,discount_store,,10
57,ORLEN,contains,description,Orlen,groceries,convinience_store,,10
58,VINTED,contains,description,,shopping_and_services,clothing,,10
59,BOLT,contains,description,Bolt,transport,uber/bolt,,10
60,AIRBNB,contains,description,,,,,10
61,ALDI,contains,description,,groceries,convinience_store,,10
62,SYSTEMY POB. OPLAT,contains,description,ZTM Warszawa,transport,tickets,,10
63,OSZCZ CO MIES,contains,description,,savings,,,10
64,UBER,contains,description,Uber,transport,uber/bolt,,
65,KEBAB,contains,description,Kebab,dining out ,fastfood,,9
66,ALLEGRO,contains,description,Allegro,shopping_and_services,online_shopping,,
67,INTECITY,contains,description,PKP Intercity,transport,tickets,,10
68,atm_withdrawal,contains,transaction_type,ATM,ATM_withdrawal,,,
69,BATEX,contains,description,Venting Machine,dining_out,vending machines,,10
70,LEROY MERLIN,contains,description,Leroy Merlin,shopping_and_services,home_goods,,10
